;This file describes the opcodes used in the Dolphin CPU emulation
;It can be edited with a text editor or anything that supports csv files using semicola as delimiters
;Rows like these, which have an empty first cell, are treated as empty lines
;A table begins with a row that has '===' as the first cell
;The second cell defines the table name (will be used as the name of the OpID range in PPCTables.h)
;The third cell is the amount of shifting right that has to be done to have the opcode field for this table in the least-significant digits
;The fourth cell is the length of the opcode field in bits. Due to technical restrictions (64-bit operations) it is limited to 6.
;The fifth cell is description field, and will be added as a comment in the generated OpID range definition
;After the table header, each line defines the next opcode value
;Empty lines (this includes comment lines!) define unknown/invalid instructions. They are ignored at the end of the table.
;Lines with '->' in the first cell define that the instruction has to be decoded by examining another table (with the name in the second cell)
;Other lines define a valid instruction
;Currently, the first cell is special to the table generator: it can be used as a default value for empty cells in other columns
;The cells after that are not used for the OpInfo table but can be used to generate other tables
;The current use of the columns is as follows:
;OpType;flags;Interpreter function (instruction name if empty);Estimated cycle count (1 if empty)
===;Primary;26;6;Primary opcodes



twi;System;FL_ENDBLOCK
->;OpId4


mulli;Integer;FL_OUT_D | FL_IN_A;;3
subfic;Integer;FL_OUT_D | FL_IN_A | FL_SET_CA

cmpli;Integer;FL_IN_A | FL_SET_CRn
cmpi;Integer;FL_IN_A | FL_SET_CRn
addic;Integer;FL_OUT_D | FL_IN_A | FL_SET_CA
addic.;Integer;FL_OUT_D | FL_IN_A | FL_SET_CA | FL_SET_CR0;addic_rc
addi;Integer;FL_OUT_D | FL_IN_A0
addis;Integer;FL_OUT_D | FL_IN_A0
bcx;System;FL_ENDBLOCK
sc;System;FL_ENDBLOCK;;2
bx;System;FL_ENDBLOCK
->;OpId19
rlwimix;Integer;FL_OUT_A | FL_IN_A | FL_IN_S | FL_RC_BIT
rlwinmx;Integer;FL_OUT_A | FL_IN_S | FL_RC_BIT

rlwnmx;Integer;FL_OUT_A | FL_IN_SB | FL_RC_BIT
ori;Integer;FL_OUT_A | FL_IN_S
oris;Integer;FL_OUT_A | FL_IN_S
xori;Integer;FL_OUT_A | FL_IN_S
xoris;Integer;FL_OUT_A | FL_IN_S
andi.;Integer;FL_OUT_A | FL_IN_S | FL_SET_CR0;andi_rc
andis.;Integer;FL_OUT_A | FL_IN_S | FL_SET_CR0;andis_rc

->;OpId31
lwz;Load;FL_OUT_D | FL_IN_A0 | FL_LOADSTORE
lwzu;Load;FL_OUT_D | FL_OUT_A | FL_IN_A | FL_LOADSTORE
lbz;Load;FL_OUT_D | FL_IN_A0 | FL_LOADSTORE
lbzu;Load;FL_OUT_D | FL_OUT_A | FL_IN_A | FL_LOADSTORE
stw;Store;FL_IN_A0 | FL_IN_S | FL_LOADSTORE
stwu;Store;FL_OUT_A | FL_IN_A | FL_IN_S | FL_LOADSTORE
stb;Store;FL_IN_A0 | FL_IN_S | FL_LOADSTORE
stbu;Store;FL_OUT_A | FL_IN_A | FL_IN_S | FL_LOADSTORE
lhz;Load;FL_OUT_D | FL_IN_A0 | FL_LOADSTORE
lhzu;Load;FL_OUT_D | FL_OUT_A | FL_IN_A | FL_LOADSTORE
lha;Load;FL_OUT_D | FL_IN_A0 | FL_LOADSTORE
lhau;Load;FL_OUT_D | FL_OUT_A | FL_IN_A | FL_LOADSTORE
sth;Store;FL_IN_A0 | FL_IN_S | FL_LOADSTORE
sthu;Store;FL_OUT_A | FL_IN_A | FL_IN_S | FL_LOADSTORE
lmw;System;FL_EVIL | FL_IN_A0 | FL_LOADSTORE;;11
stmw;System;FL_EVIL | FL_IN_A0 | FL_LOADSTORE;;11
lfs;LoadFP;FL_OUT_FLOAT_D | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
lfsu;LoadFP;FL_OUT_FLOAT_D | FL_OUT_A | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
lfd;LoadFP;FL_INOUT_FLOAT_D | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
lfdu;LoadFP;FL_INOUT_FLOAT_D | FL_OUT_A | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
stfs;StoreFP;FL_IN_FLOAT_S | FL_IN_A0 | FL_USE_FPU | FL_LOADSTORE
stfsu;StoreFP;FL_IN_FLOAT_S | FL_OUT_A | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
stfd;StoreFP;FL_IN_FLOAT_S | FL_IN_A0 | FL_USE_FPU | FL_LOADSTORE
stfdu;StoreFP;FL_IN_FLOAT_S | FL_OUT_A | FL_IN_A | FL_USE_FPU | FL_LOADSTORE
psq_l;LoadPS;FL_OUT_FLOAT_D | FL_IN_A0 | FL_USE_FPU | FL_LOADSTORE
psq_lu;LoadPS;FL_OUT_FLOAT_D | FL_OUT_A | FL_IN_A | FL_USE_FPU | FL_LOADSTORE

->;OpId59
